free_bikes,bike_station,empty_slots,latitude,longitude,rating
14,31,1,41.928773,-87.663913,0.0
14,31,1,41.928773,-87.663913,2.0
14,31,1,41.928773,-87.663913,4.5
1,32,10,41.841707,-87.626938,1.0
1,32,10,41.841707,-87.626938,3.5
1,32,10,41.841707,-87.626938,3.0
1,32,10,41.841707,-87.626938,0.0
1,32,10,41.841707,-87.626938,2.0
1,32,10,41.841707,-87.626938,4.5
4,33,40,41.879255,-87.639904,4.0
4,33,40,41.879255,-87.639904,0.0
4,33,40,41.879255,-87.639904,3.0
4,33,40,41.879255,-87.639904,1.0
4,33,40,41.879255,-87.639904,2.0
4,33,40,41.879255,-87.639904,2.5
3,34,8,41.7586696704,-87.586882871,0.0
3,34,8,41.7586696704,-87.586882871,1.5
3,34,8,41.7586696704,-87.586882871,2.0
3,34,8,41.7586696704,-87.586882871,4.0
3,34,8,41.7586696704,-87.586882871,2.5
11,35,0,41.816499,-87.606582,5.0
11,35,0,41.816499,-87.606582,3.0
11,35,0,41.816499,-87.606582,0.0
11,35,0,41.816499,-87.606582,4.5
11,35,0,41.816499,-87.606582,3.5
11,35,0,41.816499,-87.606582,1.5
4,36,7,41.838842,-87.621857,0.0
4,36,7,41.838842,-87.621857,3.5
4,36,7,41.838842,-87.621857,2.5
3,37,10,41.861267,-87.656625,3.5
3,37,10,41.861267,-87.656625,3.0
3,37,10,41.861267,-87.656625,4.5
3,37,10,41.861267,-87.656625,4.0
3,37,10,41.861267,-87.656625,0.0
1,38,12,41.865234,-87.666507,3.0
1,38,12,41.865234,-87.666507,2.0
1,38,12,41.865234,-87.666507,2.5
1,38,12,41.865234,-87.666507,1.5
1,38,12,41.865234,-87.666507,0.0
1,38,12,41.865234,-87.666507,3.5
1,38,12,41.865234,-87.666507,4.0
8,39,7,41.891072,-87.666611,3.5
8,39,7,41.891072,-87.666611,4.5
8,39,7,41.891072,-87.666611,5.0
8,39,7,41.891072,-87.666611,4.0
8,39,7,41.891072,-87.666611,3.0
10,40,5,41.830661,-87.647172,3.5
10,40,5,41.830661,-87.647172,4.5
10,40,5,41.830661,-87.647172,0.0
10,40,5,41.830661,-87.647172,4.0
10,40,5,41.830661,-87.647172,2.5
10,40,5,41.830661,-87.647172,3.0
4,41,3,41.894887,-87.774704,2.0
4,41,3,41.894887,-87.774704,1.5
4,41,3,41.894887,-87.774704,3.5
4,41,3,41.894887,-87.774704,0.0
4,41,3,41.894887,-87.774704,3.0
6,42,9,42.012701,-87.666058,2.5
6,42,9,42.012701,-87.666058,3.5
6,42,9,42.012701,-87.666058,0.0
6,42,9,42.012701,-87.666058,4.0
6,42,9,42.012701,-87.666058,4.5
6,42,9,42.012701,-87.666058,3.0
4,43,7,42.012342,-87.688243,4.5
